tom	01a	57706
tom	01b	349965
tom	01c	4134
tom	01d	623396
tom	02a	239646
tom	02b	145318
tom	02c	83682
tom	02d	1305794
tom	03a	215485
tom	03b	1152
tom	03c	2748837
tom	04a	6851460
tom	04b	137623
tom	04c	9502093
tom	05a	3929
tom	05b	0
tom	05c	107606
tom	06a	23214641
tom	06b	16350
tom	06c	16355
tom	06d	135522652
tom	06e	135518592
tom	06f	39014366
tom	07a	10189
tom	07b	6107
tom	07c	27664093
tom	08a	98152
tom	08b	44452
tom	08c	16217852
tom	08d	4574204
tom	09a	1136297
tom	09b	542658
tom	09c	3111344
tom	09d	4399099
tom	10a	864807
tom	10b	297166
tom	10c	4264845
tom	11a	584625
tom	11b	1428775
tom	11c	26481588
tom	11d	26498088
tom	12a	1999566
tom	12b	1275837
tom	12c	2212995
tom	13a	4537976
tom	13b	6503893
tom	13c	6503268
tom	13d	6871832
tom	14a	1939132
tom	14b	614632
tom	14c	5709534
tom	15a	6464825
tom	15b	5538469
tom	15c	2682719
tom	15d	19355800
tom	16a	1625759
tom	16b	122658929
tom	16c	101484682
tom	16d	66464676
tom	17a	118305283
tom	17b	3269089
tom	17c	2962491
tom	17d	3007901
tom	17e	120879549
tom	17f	8918875
tom	18a	3251325
tom	18b	51745
tom	18c	1460384
tom	19a	1670825
tom	19b	1290863
tom	19c	2759040
tom	19d	33344328
tom	20a	520211856
tom	20b	257365319
tom	20c	474278757
tom	21a	28472
tom	21b	23344
tom	21c	648727
tom	22a	1977980
tom	22b	1742438
tom	22c	3325514
tom	22d	5280547
tom	23a	2336747
tom	23b	2334944
tom	23c	2341130
tom	24a	4186362
tom	24b	1100157
tom	25a	2585770
tom	25b	1018703
tom	25c	10525932
tom	26a	49668685
tom	26b	37415142
tom	26c	81569124
tom	27a	238889
tom	27b	235795
tom	27c	191753
tom	28a	2349951
tom	28b	902275
tom	28c	1006710
tom	29a	49022452
tom	29b	25521670
tom	29c	59216382
tom	30a	563947
tom	30b	1553951
tom	30c	5601674
tom	31a	41010324
tom	31b	4636308
tom	31c	41795510
tom	32a	89992
tom	32b	136219
tom	33a	5500700
tom	33b	3212292
tom	33c	5988463
postgres	01a	681
postgres	01b	118
postgres	01c	299
postgres	01d	119
postgres	02a	205640
postgres	02b	159888
postgres	02c	41844
postgres	02d	327024
postgres	03a	14923
postgres	03b	13361
postgres	03c	32364
postgres	04a	472702
postgres	04b	13334
postgres	04c	760837
postgres	05a	0
postgres	05b	0
postgres	05c	2903
postgres	06a	517
postgres	06b	38662
postgres	06c	3118
postgres	06d	36234
postgres	06e	517
postgres	06f	1620667
postgres	07a	10221
postgres	07b	6155
postgres	07c	9493670
postgres	08a	121007
postgres	08b	12839
postgres	08c	12223751
postgres	08d	3468945
postgres	09a	928904
postgres	09b	225755
postgres	09c	63522
postgres	09d	3026184
postgres	10a	13800
postgres	10b	12663
postgres	10c	1153857
postgres	11a	479452
postgres	11b	252619
postgres	11c	96773
postgres	11d	95648
postgres	12a	390190
postgres	12b	125950
postgres	12c	1122695
postgres	13a	3919266
postgres	13b	3501549
postgres	13c	3497512
postgres	13d	15653004
postgres	14a	1167463
postgres	14b	288211
postgres	14c	1363062
postgres	15a	262343
postgres	15b	2494
postgres	15c	7697
postgres	15d	39995
postgres	16a	14934375
postgres	16b	29435538
postgres	16c	15573469
postgres	16d	15432515
postgres	17a	3391392
postgres	17b	701800
postgres	17c	395202
postgres	17d	440612
postgres	17e	3133103
postgres	17f	9142278
postgres	18a	1094273
postgres	18b	94896
postgres	18c	1291188
postgres	19a	454224
postgres	19b	71110
postgres	19c	491120
postgres	19d	7594822
postgres	20a	208580
postgres	20b	237744
postgres	20c	426149
postgres	21a	33229
postgres	21b	254101
postgres	21c	258199
postgres	22a	1197827
postgres	22b	1185934
postgres	22c	1563858
postgres	22d	1858270
postgres	23a	826585
postgres	23b	35840
postgres	23c	5045
postgres	24a	24476
postgres	24b	11186
postgres	25a	1115339
postgres	25b	603236
postgres	25c	1334673
postgres	26a	438657
postgres	26b	17087
postgres	26c	1240816
postgres	27a	33044
postgres	27b	33146
postgres	27c	27501
postgres	28a	262931
postgres	28b	233758
postgres	28c	252964
postgres	29a	79752
postgres	29b	154223
postgres	29c	427765
postgres	30a	198289
postgres	30b	1914
postgres	30c	334144
postgres	31a	619057
postgres	31b	610308
postgres	31c	735259
postgres	32a	1
postgres	32b	50616
postgres	33a	528885
postgres	33b	83761
postgres	33c	65020
explicit	01a	57706
explicit	01b	83
explicit	01c	21940
explicit	01d	98
explicit	02a	240066
explicit	02b	237460
explicit	02d	300548
explicit	03a	61325
explicit	03b	13183
explicit	03c	496606
explicit	04a	472702
explicit	04b	13334
explicit	04c	760837
explicit	05c	2903
explicit	06a	517
explicit	06b	36082
explicit	06c	504
explicit	06d	50287
explicit	06e	517
explicit	06f	1620667
explicit	07a	9225
explicit	07b	5657
explicit	07c	2871540
explicit	08a	141135
explicit	08b	167
explicit	08c	16151991
explicit	08d	2748939
explicit	09a	2946
explicit	09b	2031
explicit	09c	68874
explicit	09d	3558333
explicit	10a	63843
explicit	10c	2506837
explicit	11a	21306
explicit	11b	1205680
explicit	11c	324291
explicit	11d	419721
explicit	12a	1908618
explicit	12b	121961
explicit	12c	2081726
explicit	13a	5700197
explicit	13b	5384730
explicit	13c	5384017
explicit	13d	6811343
explicit	14a	498655
explicit	14b	279432
explicit	14c	523906
explicit	15a	4462
explicit	15b	3583
explicit	15c	9311
explicit	15d	49692
explicit	16a	43158
explicit	16b	10554287
explicit	16c	930183
explicit	16d	730835
explicit	17a	3391392
explicit	17b	701800
explicit	17c	395202
explicit	17d	440612
explicit	17e	5965658
explicit	17f	9290830
explicit	18a	1052277
explicit	18b	109154
explicit	18c	1017857
explicit	19a	3149
explicit	19b	70951
explicit	19c	3031750
explicit	19d	7401050
explicit	20a	848464
explicit	20b	237674
explicit	20c	426149
explicit	21a	22716
explicit	21b	18230
explicit	21c	27867
explicit	22a	967654
explicit	22b	915191
explicit	22c	1354356
explicit	22d	823595
explicit	23a	30201
explicit	23b	30102
explicit	23c	30698
explicit	24a	32554
explicit	24b	10144
explicit	25a	622235
explicit	25b	522078
explicit	25c	1144782
explicit	26a	288854
explicit	26b	202448
explicit	26c	889978
explicit	27a	237747
explicit	27b	234843
explicit	27c	190036
explicit	28a	660903
explicit	28b	152856
explicit	28c	745018
explicit	29a	729073
explicit	29b	246887
explicit	29c	770608
explicit	30a	592141
explicit	30b	585901
explicit	30c	732383
explicit	31a	727049
explicit	31b	537091
explicit	31c	1023882
explicit	32b	136219
explicit	33a	488688
explicit	33b	488004
explicit	33c	503731
duckdb	01a	1442982
duckdb	01b	1047140
duckdb	01c	138912
duckdb	01d	1849721
duckdb	02a	39543954
duckdb	02b	39541348
duckdb	02c	39536120
duckdb	02d	39604436
duckdb	03a	1420408
duckdb	03b	300459
duckdb	03c	5015102
duckdb	04a	2222955
duckdb	04b	308056
duckdb	04c	6324725
duckdb	05a	49734
duckdb	05b	82354
duckdb	05c	675808
duckdb	06a	300037
duckdb	06b	1588
duckdb	06c	1544
duckdb	06d	1985119
duckdb	06e	1970883
duckdb	06f	39014366
duckdb	07a	113727
duckdb	07b	35849
duckdb	07c	1358047
duckdb	08a	49594
duckdb	08b	9501
duckdb	08c	76116298
duckdb	08d	70581452
duckdb	09a	647863
duckdb	09b	340460
duckdb	09c	4420973
duckdb	09d	5078872
duckdb	10a	1689907
